step	is_bug	state	point
1.0	0.0	LONG_WALK	[0.5, 0.5]
2.0	0.0	LONG_WALK	[0.25, 0.75]
3.0	0.0	LONG_WALK	[0.75, 0.25]
4.0	0.0	LONG_WALK	[0.125, 0.625]
5.0	0.0	LONG_WALK	[0.625, 0.125]
6.0	0.0	LONG_WALK	[0.375, 0.375]
7.0	0.0	LONG_WALK	[0.875, 0.875]
8.0	0.0	LONG_WALK	[0.0625, 0.9375]
9.0	0.0	LONG_WALK	[0.5625, 0.4375]
10.0	0.0	LONG_WALK	[0.3125, 0.1875]
11.0	1.0	LONG_WALK	[0.8125, 0.6875]
12.0	0.0	LONG_WALK	[0.1875, 0.3125]
13.0	0.0	LONG_WALK	[0.6875, 0.8125]
14.0	0.0	LONG_WALK	[0.4375, 0.5625]
15.0	0.0	LONG_WALK	[0.9375, 0.0625]
16.0	0.0	LONG_WALK	[0.03125, 0.53125]
17.0	0.0	LONG_WALK	[0.53125, 0.03125]
18.0	0.0	LONG_WALK	[0.28125, 0.28125]
19.0	0.0	LONG_WALK	[0.78125, 0.78125]
20.0	0.0	LONG_WALK	[0.15625, 0.15625]
