step	is_bug	state	point
1.0	0.0	LONG_WALK	[0.018867924528301886, 0.018867924528301886, 0.018867924528301886, 0.018867924528301886, 0.018867924528301886, 0.018867924528301886, 0.018867924528301886, 0.018867924528301886, 0.018867924528301886, 0.018867924528301886, 0.018867924528301886, 0.018867924528301886, 0.018867924528301886, 0.018867924528301886, 0.018867924528301886, 0.018867924528301886, 0.018867924528301886, 0.018867924528301886, 0.018867924528301886, 0.018867924528301886, 0.018867924528301886, 0.018867924528301886, 0.018867924528301886, 0.018867924528301886, 0.018867924528301886, 0.018867924528301886, 0.018867924528301886, 0.018867924528301886, 0.018867924528301886, 0.018867924528301886, 0.018867924528301886, 0.018867924528301886, 0.018867924528301886, 0.018867924528301886, 0.018867924528301886, 0.018867924528301886, 0.018867924528301886, 0.018867924528301886, 0.018867924528301886, 0.018867924528301886, 0.018867924528301886, 0.018867924528301886, 0.018867924528301886, 0.018867924528301886, 0.018867924528301886, 0.018867924528301886, 0.018867924528301886, 0.018867924528301886, 0.018867924528301886, 0.018867924528301886]
2.0	0.0	LONG_WALK	[0.03773584905660377, 0.03773584905660377, 0.03773584905660377, 0.03773584905660377, 0.03773584905660377, 0.03773584905660377, 0.03773584905660377, 0.03773584905660377, 0.03773584905660377, 0.03773584905660377, 0.03773584905660377, 0.03773584905660377, 0.03773584905660377, 0.03773584905660377, 0.03773584905660377, 0.03773584905660377, 0.03773584905660377, 0.03773584905660377, 0.03773584905660377, 0.03773584905660377, 0.03773584905660377, 0.03773584905660377, 0.03773584905660377, 0.03773584905660377, 0.03773584905660377, 0.03773584905660377, 0.03773584905660377, 0.03773584905660377, 0.03773584905660377, 0.03773584905660377, 0.03773584905660377, 0.03773584905660377, 0.03773584905660377, 0.03773584905660377, 0.03773584905660377, 0.03773584905660377, 0.03773584905660377, 0.03773584905660377, 0.03773584905660377, 0.03773584905660377, 0.03773584905660377, 0.03773584905660377, 0.03773584905660377, 0.03773584905660377, 0.03773584905660377, 0.03773584905660377, 0.03773584905660377, 0.03773584905660377, 0.03773584905660377, 0.03773584905660377]
3.0	0.0	LONG_WALK	[0.05660377358490566, 0.05660377358490566, 0.05660377358490566, 0.05660377358490566, 0.05660377358490566, 0.05660377358490566, 0.05660377358490566, 0.05660377358490566, 0.05660377358490566, 0.05660377358490566, 0.05660377358490566, 0.05660377358490566, 0.05660377358490566, 0.05660377358490566, 0.05660377358490566, 0.05660377358490566, 0.05660377358490566, 0.05660377358490566, 0.05660377358490566, 0.05660377358490566, 0.05660377358490566, 0.05660377358490566, 0.05660377358490566, 0.05660377358490566, 0.05660377358490566, 0.05660377358490566, 0.05660377358490566, 0.05660377358490566, 0.05660377358490566, 0.05660377358490566, 0.05660377358490566, 0.05660377358490566, 0.05660377358490566, 0.05660377358490566, 0.05660377358490566, 0.05660377358490566, 0.05660377358490566, 0.05660377358490566, 0.05660377358490566, 0.05660377358490566, 0.05660377358490566, 0.05660377358490566, 0.05660377358490566, 0.05660377358490566, 0.05660377358490566, 0.05660377358490566, 0.05660377358490566, 0.05660377358490566, 0.05660377358490566, 0.05660377358490566]
4.0	0.0	LONG_WALK	[0.07547169811320754, 0.07547169811320754, 0.07547169811320754, 0.07547169811320754, 0.07547169811320754, 0.07547169811320754, 0.07547169811320754, 0.07547169811320754, 0.07547169811320754, 0.07547169811320754, 0.07547169811320754, 0.07547169811320754, 0.07547169811320754, 0.07547169811320754, 0.07547169811320754, 0.07547169811320754, 0.07547169811320754, 0.07547169811320754, 0.07547169811320754, 0.07547169811320754, 0.07547169811320754, 0.07547169811320754, 0.07547169811320754, 0.07547169811320754, 0.07547169811320754, 0.07547169811320754, 0.07547169811320754, 0.07547169811320754, 0.07547169811320754, 0.07547169811320754, 0.07547169811320754, 0.07547169811320754, 0.07547169811320754, 0.07547169811320754, 0.07547169811320754, 0.07547169811320754, 0.07547169811320754, 0.07547169811320754, 0.07547169811320754, 0.07547169811320754, 0.07547169811320754, 0.07547169811320754, 0.07547169811320754, 0.07547169811320754, 0.07547169811320754, 0.07547169811320754, 0.07547169811320754, 0.07547169811320754, 0.07547169811320754, 0.07547169811320754]
5.0	0.0	LONG_WALK	[0.09433962264150943, 0.09433962264150943, 0.09433962264150943, 0.09433962264150943, 0.09433962264150943, 0.09433962264150943, 0.09433962264150943, 0.09433962264150943, 0.09433962264150943, 0.09433962264150943, 0.09433962264150943, 0.09433962264150943, 0.09433962264150943, 0.09433962264150943, 0.09433962264150943, 0.09433962264150943, 0.09433962264150943, 0.09433962264150943, 0.09433962264150943, 0.09433962264150943, 0.09433962264150943, 0.09433962264150943, 0.09433962264150943, 0.09433962264150943, 0.09433962264150943, 0.09433962264150943, 0.09433962264150943, 0.09433962264150943, 0.09433962264150943, 0.09433962264150943, 0.09433962264150943, 0.09433962264150943, 0.09433962264150943, 0.09433962264150943, 0.09433962264150943, 0.09433962264150943, 0.09433962264150943, 0.09433962264150943, 0.09433962264150943, 0.09433962264150943, 0.09433962264150943, 0.09433962264150943, 0.09433962264150943, 0.09433962264150943, 0.09433962264150943, 0.09433962264150943, 0.09433962264150943, 0.09433962264150943, 0.09433962264150943, 0.09433962264150943]
6.0	0.0	LONG_WALK	[0.11320754716981132, 0.11320754716981132, 0.11320754716981132, 0.11320754716981132, 0.11320754716981132, 0.11320754716981132, 0.11320754716981132, 0.11320754716981132, 0.11320754716981132, 0.11320754716981132, 0.11320754716981132, 0.11320754716981132, 0.11320754716981132, 0.11320754716981132, 0.11320754716981132, 0.11320754716981132, 0.11320754716981132, 0.11320754716981132, 0.11320754716981132, 0.11320754716981132, 0.11320754716981132, 0.11320754716981132, 0.11320754716981132, 0.11320754716981132, 0.11320754716981132, 0.11320754716981132, 0.11320754716981132, 0.11320754716981132, 0.11320754716981132, 0.11320754716981132, 0.11320754716981132, 0.11320754716981132, 0.11320754716981132, 0.11320754716981132, 0.11320754716981132, 0.11320754716981132, 0.11320754716981132, 0.11320754716981132, 0.11320754716981132, 0.11320754716981132, 0.11320754716981132, 0.11320754716981132, 0.11320754716981132, 0.11320754716981132, 0.11320754716981132, 0.11320754716981132, 0.11320754716981132, 0.11320754716981132, 0.11320754716981132, 0.11320754716981132]
7.0	0.0	LONG_WALK	[0.1320754716981132, 0.1320754716981132, 0.1320754716981132, 0.1320754716981132, 0.1320754716981132, 0.1320754716981132, 0.1320754716981132, 0.1320754716981132, 0.1320754716981132, 0.1320754716981132, 0.1320754716981132, 0.1320754716981132, 0.1320754716981132, 0.1320754716981132, 0.1320754716981132, 0.1320754716981132, 0.1320754716981132, 0.1320754716981132, 0.1320754716981132, 0.1320754716981132, 0.1320754716981132, 0.1320754716981132, 0.1320754716981132, 0.1320754716981132, 0.1320754716981132, 0.1320754716981132, 0.1320754716981132, 0.1320754716981132, 0.1320754716981132, 0.1320754716981132, 0.1320754716981132, 0.1320754716981132, 0.1320754716981132, 0.1320754716981132, 0.1320754716981132, 0.1320754716981132, 0.1320754716981132, 0.1320754716981132, 0.1320754716981132, 0.1320754716981132, 0.1320754716981132, 0.1320754716981132, 0.1320754716981132, 0.1320754716981132, 0.1320754716981132, 0.1320754716981132, 0.1320754716981132, 0.1320754716981132, 0.1320754716981132, 0.1320754716981132]
8.0	0.0	LONG_WALK	[0.1509433962264151, 0.1509433962264151, 0.1509433962264151, 0.1509433962264151, 0.1509433962264151, 0.1509433962264151, 0.1509433962264151, 0.1509433962264151, 0.1509433962264151, 0.1509433962264151, 0.1509433962264151, 0.1509433962264151, 0.1509433962264151, 0.1509433962264151, 0.1509433962264151, 0.1509433962264151, 0.1509433962264151, 0.1509433962264151, 0.1509433962264151, 0.1509433962264151, 0.1509433962264151, 0.1509433962264151, 0.1509433962264151, 0.1509433962264151, 0.1509433962264151, 0.1509433962264151, 0.1509433962264151, 0.1509433962264151, 0.1509433962264151, 0.1509433962264151, 0.1509433962264151, 0.1509433962264151, 0.1509433962264151, 0.1509433962264151, 0.1509433962264151, 0.1509433962264151, 0.1509433962264151, 0.1509433962264151, 0.1509433962264151, 0.1509433962264151, 0.1509433962264151, 0.1509433962264151, 0.1509433962264151, 0.1509433962264151, 0.1509433962264151, 0.1509433962264151, 0.1509433962264151, 0.1509433962264151, 0.1509433962264151, 0.1509433962264151]
9.0	0.0	LONG_WALK	[0.16981132075471697, 0.16981132075471697, 0.16981132075471697, 0.16981132075471697, 0.16981132075471697, 0.16981132075471697, 0.16981132075471697, 0.16981132075471697, 0.16981132075471697, 0.16981132075471697, 0.16981132075471697, 0.16981132075471697, 0.16981132075471697, 0.16981132075471697, 0.16981132075471697, 0.16981132075471697, 0.16981132075471697, 0.16981132075471697, 0.16981132075471697, 0.16981132075471697, 0.16981132075471697, 0.16981132075471697, 0.16981132075471697, 0.16981132075471697, 0.16981132075471697, 0.16981132075471697, 0.16981132075471697, 0.16981132075471697, 0.16981132075471697, 0.16981132075471697, 0.16981132075471697, 0.16981132075471697, 0.16981132075471697, 0.16981132075471697, 0.16981132075471697, 0.16981132075471697, 0.16981132075471697, 0.16981132075471697, 0.16981132075471697, 0.16981132075471697, 0.16981132075471697, 0.16981132075471697, 0.16981132075471697, 0.16981132075471697, 0.16981132075471697, 0.16981132075471697, 0.16981132075471697, 0.16981132075471697, 0.16981132075471697, 0.16981132075471697]
10.0	0.0	LONG_WALK	[0.18867924528301885, 0.18867924528301885, 0.18867924528301885, 0.18867924528301885, 0.18867924528301885, 0.18867924528301885, 0.18867924528301885, 0.18867924528301885, 0.18867924528301885, 0.18867924528301885, 0.18867924528301885, 0.18867924528301885, 0.18867924528301885, 0.18867924528301885, 0.18867924528301885, 0.18867924528301885, 0.18867924528301885, 0.18867924528301885, 0.18867924528301885, 0.18867924528301885, 0.18867924528301885, 0.18867924528301885, 0.18867924528301885, 0.18867924528301885, 0.18867924528301885, 0.18867924528301885, 0.18867924528301885, 0.18867924528301885, 0.18867924528301885, 0.18867924528301885, 0.18867924528301885, 0.18867924528301885, 0.18867924528301885, 0.18867924528301885, 0.18867924528301885, 0.18867924528301885, 0.18867924528301885, 0.18867924528301885, 0.18867924528301885, 0.18867924528301885, 0.18867924528301885, 0.18867924528301885, 0.18867924528301885, 0.18867924528301885, 0.18867924528301885, 0.18867924528301885, 0.18867924528301885, 0.18867924528301885, 0.18867924528301885, 0.18867924528301885]
